2024-01-18 13:45:19.755013581 +0100 CET m=+0.002154919,2024-01-18 14:15:19.756036111 +0100 CET m=+1800.003177454,unl,1800000000000,random22,5,3,20,7,9,4,0.5,100,1
2024-01-18 14:18:53.327313087 +0100 CET m=+0.002686208,2024-01-18 14:48:53.331794786 +0100 CET m=+1800.007167902,unl,1800000000000,random22,5,3,20,7,9,4,0.5,100,1
2024-01-18 14:52:27.388201839 +0100 CET m=+0.003088090,2024-01-18 15:22:27.397938446 +0100 CET m=+1800.012824697,unl,1800000000000,random23,7,1,9,5,3,9,0.25,100,2
2024-01-18 15:26:01.246859318 +0100 CET m=+0.002404839,2024-01-18 15:56:01.249499488 +0100 CET m=+1800.005045014,unl,1800000000000,random23,7,1,9,5,3,9,0.25,100,2
2024-01-18 15:59:35.635586609 +0100 CET m=+0.002446490,2024-01-18 16:29:35.638879177 +0100 CET m=+1800.005739062,unl,1800000000000,random23,7,1,9,5,3,9,0.25,100,2
2024-01-18 16:33:10.333956435 +0100 CET m=+0.002887501,2024-01-18 17:03:10.337318152 +0100 CET m=+1800.006249205,unl,1800000000000,random24,2,1,4,2,3,5,0.15,100,3
2024-01-18 17:06:44.47566555 +0100 CET m=+0.002724735,2024-01-18 17:36:44.477988101 +0100 CET m=+1800.005047279,unl,1800000000000,random24,2,1,4,2,3,5,0.15,100,3
2024-01-18 17:40:20.33116231 +0100 CET m=+0.002695872,2024-01-18 18:10:20.336109006 +0100 CET m=+1800.007642568,unl,1800000000000,random24,2,1,4,2,3,5,0.15,100,3
2024-01-18 18:13:55.383380144 +0100 CET m=+0.003096839,2024-01-18 18:43:55.448671222 +0100 CET m=+1800.068387898,unl,1800000000000,random25,16,3,17,2,5,8,0.75,100,0.5
2024-01-18 18:47:28.675857099 +0100 CET m=+0.002649400,2024-01-18 19:17:28.734870201 +0100 CET m=+1800.061662488,unl,1800000000000,random25,16,3,17,2,5,8,0.75,100,0.5
2024-01-18 19:21:02.233209002 +0100 CET m=+0.002879261,2024-01-18 19:51:02.243337973 +0100 CET m=+1800.013008233,unl,1800000000000,random25,16,3,17,2,5,8,0.75,100,0.5
2024-01-18 19:54:36.197231799 +0100 CET m=+0.002551588,2024-01-18 20:24:36.203790232 +0100 CET m=+1800.009110028,unl,1800000000000,random26,4,2,7,10,9,2,0.5,100,1
2024-01-18 20:28:09.857891814 +0100 CET m=+0.002937791,2024-01-18 20:58:09.86538056 +0100 CET m=+1800.010426533,unl,1800000000000,random26,4,2,7,10,9,2,0.5,100,1
2024-01-18 21:01:43.69576501 +0100 CET m=+0.002692115,2024-01-18 21:31:43.698444015 +0100 CET m=+1800.005371101,unl,1800000000000,random26,4,2,7,10,9,2,0.5,100,1
2024-01-18 21:35:17.206123782 +0100 CET m=+0.004687282,2024-01-18 22:05:17.213054874 +0100 CET m=+1800.011618365,unl,1800000000000,random27,8,1,23,4,8,2,0.25,100,3
2024-01-18 22:08:50.943054708 +0100 CET m=+0.002716873,2024-01-18 22:38:50.947542503 +0100 CET m=+1800.007204647,unl,1800000000000,random27,8,1,23,4,8,2,0.25,100,3
2024-01-18 22:42:24.951490598 +0100 CET m=+0.004193425,2024-01-18 23:12:24.959855005 +0100 CET m=+1800.012557812,unl,1800000000000,random27,8,1,23,4,8,2,0.25,100,3
2024-01-18 23:15:59.654143134 +0100 CET m=+0.002609773,2024-01-18 23:45:59.656894922 +0100 CET m=+1800.005361559,unl,1800000000000,random28,20,18,23,8,4,16,0.5,100,1
2024-01-18 23:49:33.982341556 +0100 CET m=+0.002687308,2024-01-19 00:19:33.985475507 +0100 CET m=+1800.005821256,unl,1800000000000,random28,20,18,23,8,4,16,0.5,100,1
2024-01-19 00:23:08.533060648 +0100 CET m=+0.004360919,2024-01-19 00:53:08.541738199 +0100 CET m=+1800.013038440,unl,1800000000000,random28,20,18,23,8,4,16,0.5,100,1
2024-01-19 00:56:42.900159501 +0100 CET m=+0.002638118,2024-01-19 01:26:42.903147876 +0100 CET m=+1800.005626489,unl,1800000000000,random29,18,20,8,4,6,4,0.25,100,3
2024-01-19 01:30:16.355083334 +0100 CET m=+0.003064261,2024-01-19 02:00:16.358296958 +0100 CET m=+1800.006277880,unl,1800000000000,random29,18,20,8,4,6,4,0.25,100,3
2024-01-19 02:03:50.118479843 +0100 CET m=+0.002754394,2024-01-19 02:33:50.121460341 +0100 CET m=+1800.005734881,unl,1800000000000,random29,18,20,8,4,6,4,0.25,100,3
2024-01-19 02:37:23.592953178 +0100 CET m=+0.002747294,2024-01-19 03:07:23.597759866 +0100 CET m=+1800.007553979,unl,1800000000000,random30,15,4,20,8,2,8,1,100,1
2024-01-19 03:10:57.97666998 +0100 CET m=+0.003230381,2024-01-19 03:40:57.979430002 +0100 CET m=+1800.005990402,unl,1800000000000,random30,15,4,20,8,2,8,1,100,1
2024-01-19 03:44:32.540446857 +0100 CET m=+0.003501209,2024-01-19 04:14:32.547268987 +0100 CET m=+1800.010323388,unl,1800000000000,random30,15,4,20,8,2,8,1,100,1
2024-01-19 04:18:07.925942315 +0100 CET m=+0.004274462,2024-01-19 04:48:07.986064086 +0100 CET m=+1800.064396233,unl,1800000000000,random31,8,6,18,4,4,4,0.25,100,0.5
2024-01-19 04:51:40.824472077 +0100 CET m=+0.002392241,2024-01-19 05:21:40.827054974 +0100 CET m=+1800.004975122,unl,1800000000000,random31,8,6,18,4,4,4,0.25,100,0.5
2024-01-19 05:25:14.217468981 +0100 CET m=+0.002463143,2024-01-19 05:55:14.2202485 +0100 CET m=+1800.005242654,unl,1800000000000,random31,8,6,18,4,4,4,0.25,100,0.5
2024-01-19 05:58:47.818022816 +0100 CET m=+0.004001819,2024-01-19 06:28:47.82355951 +0100 CET m=+1800.009538498,unl,1800000000000,random32,3,2,5,2,2,2,0.5,100,1
