,experiment,propagationTime,messageOverhead,messageReceived,graft,prune,iwant,ihave,messageBandwidth,totalBandwidth,gossipReceived,gossipBandwidth,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,topics,topicSize
15957,780,299.0,163.0,25.0,0.0,0.0,0.0,67.0,5.0,83.6,240.0,48.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
15958,780,394.0,94.0,15.0,0.0,0.0,0.0,71.0,3.0,48.4,232.0,46.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15959,780,277.5,170.0,26.0,0.0,0.0,0.0,92.0,5.2,87.2,128.0,25.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15960,780,268.5,165.0,25.0,0.0,0.0,0.0,67.0,5.0,84.4,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15961,780,234.0,90.0,14.0,0.0,0.0,0.0,71.0,2.8,46.4,232.0,46.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15962,780,262.5,168.0,26.0,0.0,0.0,0.0,92.0,5.2,86.4,132.0,26.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
15963,780,382.0,165.0,25.0,0.0,0.0,0.0,67.0,5.0,84.4,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
15964,780,272.0,93.0,15.0,0.0,0.0,0.0,71.0,3.0,48.0,231.0,46.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15965,780,383.0,170.0,26.0,0.0,0.0,0.0,91.0,5.2,87.0,126.0,25.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15966,780,296.5,164.0,25.0,0.0,0.0,0.0,67.0,5.0,84.0,234.0,46.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
15967,780,355.0,89.0,14.0,0.0,0.0,0.0,70.0,2.8,45.8,231.0,46.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
15968,780,235.0,164.0,26.0,0.0,0.0,0.0,92.0,5.2,84.8,133.0,26.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
15969,780,238.5,163.0,25.0,0.0,0.0,0.0,67.0,5.0,83.8,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
